                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.91656,                 0.6621,                 1.1433,                0.96407,                0.89584,                 0.9546,                0.76872,                0.80742,                0.60598,                 1.1052,              0.0006199,              0.0006199,              0.0006199
                    109,                0.88798,                0.64943,                 1.1233,                0.93053,                0.88822,                0.95416,                 0.7786,                0.77843,                0.60132,                 1.0941,             0.00061946,             0.00061946,             0.00061946
                    110,                0.90133,                0.65306,                 1.1313,                0.91902,                0.91395,                0.94915,                0.75353,                 0.8213,                0.59941,                 1.0967,             0.00061902,             0.00061902,             0.00061902
                    111,                0.90969,                0.64408,                 1.1079,                0.96312,                 0.9083,                0.95757,                0.75461,                0.81271,                0.60157,                 1.0946,             0.00061858,             0.00061858,             0.00061858
                    112,                 0.9253,                0.65078,                 1.1132,                0.97003,                0.88614,                0.95615,                0.76751,                0.77014,                0.57762,                  1.087,             0.00061814,             0.00061814,             0.00061814
                    113,                0.94728,                0.66915,                 1.1531,                0.91083,                0.91612,                0.94687,                0.72697,                0.88512,                0.60541,                 1.1193,              0.0006177,              0.0006177,              0.0006177
                    114,                0.92494,                0.65682,                 1.1506,                0.94762,                0.89505,                0.94283,                0.74707,                0.81372,                  0.619,                 1.0947,             0.00061726,             0.00061726,             0.00061726
                    115,                0.93372,                 0.6664,                 1.1482,                0.94441,                0.90699,                 0.9359,                0.76091,                0.76592,                0.61981,                 1.0698,             0.00061681,             0.00061681,             0.00061681
                    116,                0.87222,                0.62344,                 1.0947,                0.92769,                0.92994,                0.95228,                0.77989,                0.74964,                0.58374,                 1.0703,             0.00061637,             0.00061637,             0.00061637
                    117,                 0.8863,                0.65262,                 1.1203,                0.97676,                0.89946,                0.96444,                0.79464,                0.73787,                0.57869,                 1.0585,             0.00061593,             0.00061593,             0.00061593
                    118,                0.89674,                 0.6438,                 1.1241,                0.94791,                 0.9058,                0.95191,                0.75102,                0.80928,                0.60655,                 1.0744,             0.00061549,             0.00061549,             0.00061549
                    119,                0.93324,                0.63691,                 1.0926,                0.91209,                0.91403,                0.94702,                0.76123,                0.78102,                0.59366,                 1.0735,             0.00061505,             0.00061505,             0.00061505
